Número Laboratorio,Fecha AP,Región,Sitio,Fecha aC/dC,Etapa,Referencia,Título,Página,Tipo de fecha,Material,Fecha cristiana,Variación,Nivel,Profundidad,Contexto,Estructura,Período,Comentario,Incongruencias,Uso
Beta 62233,1880,Valles alto Calima y alto y medio del Cauca,Malagana,,Cacicazgos,"Botiva, & Forero, 1991",Malagana. Guaquería vs Arqueología,127,C-14,Carbón,70,60,Horizonte A1,130-144,,,Ilama - Yotoco,"El sitio fue guaqueado Herrera, Cardale & Bray, 1994; Herrera, Cardale & Rodríguez, 1994. El Museo del Oro compro un buen número de piezas del sitio..",FALSE,FALSE
Beta 6235,140,Alto Magdalena,Galíndez,,Republicano,"Patiño, & Gnecco, 1992",Ocupaciones prehispánicas del Alto Patia.,84,C-14,Carbón,1810,60,,,Tumba,,Fase Guachicono,"Descartada. De ser válida dataría un enterramiento en pozo ensanchado en el sur del Alto Patía, relativamente, contemporáneo con el grito de independencia.",TRUE,FALSE
Beta 62904,2040,Magdalena medio,Arrancaplumas,,Cacicazgos,Cifuentes 1993,Arrancaplumas y Guataqui. Dos periodos arqueológicos en el valle medio del Magdalena.,16-17,,,-90,90,,150,,,," Corte 2. Fragmentos cerámicos Herrera ( ?) y Guaduero Liso (Cifuentes, 1993:18).",FALSE,FALSE
Beta 64293,1560,Tierras bajas orientales,La Maporita,,Cacicazgos,"López, et al. 1993",Reconocimiento y prospección arqueológica. Oleoducto Cusina- El Porvenir y facilidades de producción.,"10,63",C-14,Carbón,390,100,,20-25,,,,Arqueología de rescate. El texto no tiene autores claros.,FALSE,FALSE
Beta 64601,8510,Tierras bajas orientales,Peña Roja,,Paleoindio,Llanos 1997,Artefactos de molienda en la región del Medio río Caquetá (Amazonia Colombiana).,14,,Carbón,-6560,110,,,,,,Si ninguna otra información.,FALSE,FALSE
Beta 64602,8710,Tierras bajas orientales,Peña Roja,,Paleoindio,Llanos 1997,Artefactos de molienda en la región del Medio río Caquetá (Amazonia Colombiana).,14,C-14,Carbón,-6760,110,,,,,,Si ninguna otra información.,FALSE,FALSE
Beta 65460,3620,Tierras bajas orientales,La Maporita,,Formativo,"López, et al. 1993",Reconocimiento y prospección arqueológica. Oleoducto Cusina- El Porvenir y facilidades de producción.,"10,63",C-14,Carbón,-1670,50,,55-60,,,,Arqueología de rescate. El texto es un informe sin nombres,FALSE,FALSE
Beta 65877,9530,Valles alto Calima y alto y medio del Cauca,San Isidro,,Paleoindio,Gnecco & Bravo 1994,"Análisis sintáctico de la tecnologíade reducción bifacial en San Isidro, un sitio de cazadores-recolectores del holoceno temprano.",83,C-14,Carbón,-7580,100,,,,,,,FALSE,FALSE
Beta 65878,10050,Valles alto Calima y alto y medio del Cauca,San Isidro,,Paleoindio,Gnecco & Bravo 1994,"Análisis sintáctico de la tecnologíade reducción bifacial en San Isidro, un sitio de cazadores-recolectores del holoceno temprano.",83,C-14,Carbón,-8100,100,,,,,,,FALSE,FALSE
Beta 66498,4030,Macizo Andino del sur,Tajumbina,,Formativo,"Cadavid, 1993",Excavaciones arqueológicas en Tajumbina (La Cruz-Nariño) Segunda temporada.,30,C-14,Carbón,-2080,70,,,Tumba,,,"Zona 2, Tumba 22. De acuerdo con el contexto no es evidente la validez de la datación (Cadavid 1989, 1993).",TRUE,FALSE
Beta 66499,4030,Macizo Andino del sur,Tajumbina,,Formativo,"Cadavid, 1993",Excavaciones arqueológicas en Tajumbina (La Cruz-Nariño) Segunda temporada.,30,C-14,Carbón,-2080,60,,,Tumba,,,"Zona 2, Tumba 29. De acuerdo con el contexto no es evidente la validez de la datación (Cadavid 1989, 1993).",TRUE,FALSE
Beta 67259,190,Magdalena medio,Torre 25,600,Colonial,"López, & Mendoza, 1994",Linea de interconexión A 230 kV La Mesa - Mirolindo,198,C-14,Carbón,1760,50,,230,Tumba,,Panches,"La datación correspondería a la ""colonización de las ""tierras calientes"" durante el siglo pasado"" (López y Mendoza 1994: 198). Torre 25 (Apulo)",FALSE,FALSE
Beta 67260,610,Magdalena medio,Torre 26,600,Cacicazgos,"López, & Mendoza, 1994",Linea de interconexión A 230 kV La Mesa - Mirolindo,216,C-14,Carbón,1340,80,,25-30,,,Panches,Torre 26 (Apulo),FALSE,FALSE
Beta 67261,455,Magdalena medio,Torre 54,300,Cacicazgos,"López, & Mendoza, 1994",Línea de interconexión a 230 kV La Mesa-Mirolindo.,206,AMS,Carbón,1495,50,,,Tumba,,Panches,"Las condiciones de los suelos determinaron el tipo de técnica (Acelerator Mass Spectrometry, AMS)para obtener la cronología absoluta para el sitio (López y Mendoza 1994: 206). Calibrada por C-13 en 545 +/- 55 AP = 1405 DC. Torre 54 Jerusalén",FALSE,FALSE
Beta 67469,1390,Macizo Antioqueño,Santa Helena,,Cacicazgos,"Santos, 1994",Las sociedades prehispánicas de Jardin y Riosucio.,52,,,560,60,,,,,Período Temprano,"La fecha es del corregimiento de Santa Helena (Municipio de Medellín). Santos 1995:251, La Huerta No 3, Cita a Botero y Vélez 1994. En las tablas de la fundación sale como El Carmelo.",FALSE,FALSE
Beta 67470,1430,Macizo Antioqueño,El Tiestero,,Cacicazgos,"Santos, 1994; Botero & Vélez, 1995:105",Las sociedades prehispánicas de Jardin y Riosucio.,52,,,520,70,,,,,Período Temprano,"La fecha es del corregimiento de Santa Helena (Municipio de Medellín). Botero & Veléz, 1995:105 lo ponen como el sitio El Tiestero. Santos 1995:251 El Tiestero, cita a Boero y Vélez 1994.Marrón Inciso",FALSE,FALSE
Beta 67471,1540,Macizo Antioqueño,El Tiestero,,Cacicazgos,"Santos, 1994; Botero & Veléz, 1995:105",Las sociedades prehispánicas de Jardin y Riosucio.,52,,,410,60,,,,,Período Temprano,"La fecha es del corregimiento de Santa Helena (Municipio de Medellín). Botero & Veléz, 1995:105 lo ponen como el sitio El Tiestero. Santos 1995:251 Mazo, El Tiestero. Marrón Inciso",FALSE,FALSE
Beta 67952,1500,Macizo Andino del sur,San Isidro-Guaitarilla,,Cacicazgos,Cardale & Falchetti 1980,"Objetos prehispánicos de madera procedentes del Altiplano nariñense, Colombia.",,,Madera,450,80,,,Tumba,,,Información Erigaie,FALSE,FALSE
Beta 6819,790,Valles alto Calima y alto y medio del Cauca,El Dorado,,Cacicazgos,Bray; Herrera &  Cardale 1987,Report on the 1984 field season in Calima.,22,C-14,Carbón,1160,50,,,,Plataforma,Sonso,Plataforma 1 Trinchera 4.  en Bray et al 1986:30 aparece sin el cero que precede el # de Lab.,TRUE,FALSE
Beta 68392,10,,Santa Cecilia-Yacimiento 8,,Republicano,Serna & Mejía 1994,Estudio de arqueología de rescate oleoducto La Belleza-Vasconia. Informe final.,,,,1940,70,,,,,,Información Erigaie.,FALSE,FALSE
Beta 68393,100,,Cipango-Yacimiento 11,,Republicano,Serna & Mejía 1994,Estudio de arqueología de rescate oleoducto La Belleza-Vasconia. Informe final.,,,,1850,50,,,,,,Información Erigaie,TRUE,FALSE
Beta 68394,990,,Alejandría-Yacimiento 12,,Cacicazgos,Serna &  Mejía 1994,Estudio de arqueología de rescate oleoducto La Belleza-Vasconia. Informe final.,,,,960,90,,,,,,Información Erigaie. En la tabla de Erigaie la Fecha cristiana les da  1060.,FALSE,FALSE
Beta 68395,145,,Altomira-Yacimiento 14,,Republicano,Serna & Mejía 1994,Estudio de arqueología de rescate oleoducto La Belleza-Vasconia. Informe final.,,,,1805,55,,,,,,,FALSE,FALSE
Beta 68397,1810,,Las Delicias-Yacimiento 27,,Cacicazgos,Serna &. Mejía 1994,Estudio de arqueología de rescate oleoducto La Belleza-Vasconia. Informe final.,,,,140,90,,,,,,Información Erigaie.,FALSE,FALSE
Beta 68398,1035,,La Argelia-Yacimiento 30,,Cacicazgos,Serna & Mejía 1994,Estudio de arqueología de rescate oleoducto La Belleza-Vasconia. Informe final.,,,,,55,,,,,,Información Erigaie.,FALSE,FALSE
Beta 68399,910,,El Roble-Yacimiento 35,,Cacicazgos,Serna & Mejía 1994,Informe final.Estudio de arqueología de rescate oleoducto La Belleza-Vasconia. Informe final.,,,,1040,70,,,,,,Información Catalogo Erigaie.,FALSE,FALSE
Beta 6949,2740,Tierras bajas orientales,Araracuara 25,,Formativo,"Andrade, 1986",Investigaciones arqueológica de los antrosoles de Araracuara.,56,C-14,Carbón,-790,70,,,,,Camani,Ver Andrade (1988); Mora et al. (1991) y Herrera et al. (1992). Completar número de sitio.,FALSE,FALSE
Beta 6950,1160,Tierras bajas orientales,Araracuara 26,,Cacicazgos,"Andrade, 1986",Investigaciones arqueológicas de los antrosoles de Araracuara.,57,C-14,Carbón,790,50,,,,,Nofurei,Ver Andrade (1988); Mora et al. (1991) y Herrera et al. (1992).,FALSE,FALSE
Beta 6951,290,Altiplano Cundiboyacense,Ubalá,,Colonial,"Botiva, 1984",Proyecto hidroeléctrico El Guavio. Investigación y rescate arqueológico en el área de impacto.,62,C-14,Carbón,1660,60,,,,,Muisca,Ver Lleras (1989: 98). Revisar referencia !!!,TRUE,FALSE
Beta 6953,380,Tierras bajas orientales,Acacías,,Cacicazgos,"Mora, & Cavelier, 1983",Contra Punteo Llanero,136,C-14,Carbón,1570,50,2  descapotado,,Habitación,,,"Discutida en Mora (1985, 1989). Esta fecha se asocia a Maíz -Zea mays-, Yopo -Anadenantera Peregrina-, Fríjol -phaseolus- y palma - Bactris gasipaes-.",FALSE,FALSE
Beta 70015,1080,Valles alto Calima y alto y medio del Cauca,El Carmen,,Cacicazgos,"Rodríguez, et al. 1994",Datos recientes sobre el hombre y la cultura de Guacari antes de que llegaran los conquistadores Españoles.,175,,,870,80,,,Tumba,,,Sale de la tumba 2,FALSE,FALSE
Beta 70016,1160,Valles alto Calima y alto y medio del Cauca,El Carmen,,Cacicazgos,"Rodríguez, et al. 1994",Datos recientes sobre el hombre y la cultura de Guacari antes de que llegaran los conquistadores españoles.,175,,,790,60,,,Tumba,,,Sale de la tumba 3,FALSE,FALSE
Beta 70017,820,Valles alto Calima y alto y medio del Cauca,El Carmen,,Cacicazgos,"Rodríguez, et al. 1994",Datos recientes sobre el hombre y la cultura de Guacari antes de que llegaran los conquistadores españoles.,175,,,1130,70,,,Tumba,,,Tumba 4,FALSE,FALSE
Beta 70018,770,Valles alto Calima y alto y medio del Cauca,El Carmen,,Cacicazgos,"Rodríguez, et al. 1994",Datos recientes sobre el hombre y la cultura de Guacari antes de que llegaran los conquistadores españoles.,175,,,1180,60,,,Tumba,,,Tumba 5,FALSE,FALSE
Beta 70023,1010,Valles alto Calima y alto y medio del Cauca,La Alsacia,,Cacicazgos,"Rodríguez, et al. 1994",Datos recientes sobre el hombre y la cultura de Guacari antes de que llegaran los conquistadores Españoles.,175,,,940,60,,110-120,,,,"UE2,",FALSE,FALSE
Beta 70024,980,Valles alto Calima y alto y medio del Cauca,La Alsacia,,Cacicazgos,"Rodríguez, et al. 1994",Datos recientes sobre el hombre y la cultura de Guacari antes de que llegaran los conquistadores Españoles.,175,,,970,70,,150-160,,,,"UE2,",FALSE,FALSE
Beta 70026,1950,,La Mejora-Yacimiento 17,,Cacicazgos,Serna & Mejía 1994,Estudio de arqueología de rescate oleoducto La Belleza-Vasconia. Informe final.,,,,,90,,,,,,Información Erigaie,FALSE,FALSE
Beta 70040,10350,Magdalena medio,Puerto Berrio,,Paleoindio,"López, en prensa",Evidence of late pleistocene-Early holocene occupations in the tropical lowlands of middle Magdalena Valley.,X,,Carbón,-8400,60,Horizonte Bt,35-40,,,,Terraza coluvial 30 metros sobre el nivel del río en la confluencia Magdalena-Nare (175 m.s.n.m.). Excavación de 1x0.5 m,FALSE,FALSE
Beta 70041,900,,Torre 75,,Cacicazgos,López; Nieto & Correcha 1994,Arqueología de Rescate en la Línea de Interconexion eléctrica de San Carlos (Antioquia)- Comuneros (Barrancabermeja).,,,,1050,80,,,,,,,FALSE,FALSE
Beta 70043,1580,,Torre 209,,Cacicazgos,López; Nieto & Correcha 1994,Arqueología de Rescate en la Línea de Interconexion eléctrica de San Carlos (Antioquia)- Comuneros (Barrancabermeja).,,,,370,80,,,,,,Información Erigaie.,FALSE,FALSE
Beta 70045,7050,Magdalena medio,Barrancabermeja,,Paleoindio,"López, en prensa",Evidence of late pleistocene-Early holocene occupations in the tropical lowlands of middle Magdalena Valley.,X,,,-5100,240,,40-50,,,,Excavación de 1x1. Horizonte Bt. Pinto 2003:40. Raspadores finamente retocados y puntas de lanza con retoques bifaciales.,FALSE,FALSE
Beta 70370,1570,Valles alto Calima y alto y medio del Cauca,La Aguada,,Cacicazgos,"Otero, 1992; Bermudez, 1995:59",Dos períodos de la historia prehispánica de Jerico (depto de Antioquia).,26,C-14,Carbón,380,60,,,Abrigo rocoso,Abrigo rocoso,Marrón Inciso - Complejo La Sorga,"Ver Santos 1994:52, esta fecha ya aparece como del sitio Jericó-A 1-Ent 2. Esta igual en Bermúdez. En Santos 1995:251 aparece como  Jericó Abrigo 1-ent. 2. Marrón Inciso. En el Catalogo de Erigaie aparece el sitio como La Sorga",TRUE,FALSE
Beta 7045,7050,,,,Paleoindio,López; Nieto & Correcha 1994,Arqueología de Rescate en la Línea de Interconexion eléctrica de San Carlos (Antioquia)- Comuneros (Barrancabermeja).,31,C-14,,,240,,,,,,No tiene sitio,FALSE,FALSE
Beta 72375,9120,Macizo Antioqueño,Porce II,,Paleoindio,Castillo 1998,Los antiguos pobladores del Valle Medio del río Porce. Aproximación inicial desde el estudio arqueológico Porce II.,,,,-7170,90,,,Cielo abierto,,,"Citado en Pinto 2003:40. No tengo acceso al original por eso no tiene página. Cantos rodados con bordes desgastados, cuas de piedra, placas planas, hachas con el borde pulido y el cuerpo tallado, martillos, percutores, puntas de flecha en cuarzo, raspadores y cuchillas de cuarzo. Semillas calcinadas, restos de fauna de especies menores.",FALSE,FALSE
Beta 7279,290,Peninsula de la Guajira y corredor del Cesar,El Palmar,,Colonial,"Ardila, 1983",Arqueología de rescate. Proyecto carbonífero de El Cerrejón. Zona norte. Area de El Palmar.,38,C-14,Carbón,1660,90,,40,Tumba,,,Río IV. Descartada por Ardila (1983: 38-39).,FALSE,FALSE
Beta 7280,2040,Peninsula de la Guajira y corredor del Cesar,El Palmar,,Cacicazgos,"Ardila, 1983",Arqueología de rescate. Proyecto carbonífero de El Cerrejón. Zona norte. Area de El Palmar.,38,C-14,Hueso,-90,200,,40,Tumba,,Loma,Corte Río III.,FALSE,FALSE
Beta 7281,2420,Peninsula de la Guajira y corredor del Cesar,El Palmar,,Cacicazgos,"Ardila, 1983",Arqueología de rescate. Proyecto carbonífero de El Cerrejón. Zona norte. Area de El Palmar.,38,C-14,Carbón,-470,50,,,Tumba,,Loma,Corte Río IV.,FALSE,FALSE
Beta 7282,830,Peninsula de la Guajira y corredor del Cesar,El Palmar,,Cacicazgos,"Ardila, 1983",Arqueología de rescate. Proyecto carbonífero de El Cerrejón. Zona norte. Area de El Palmar.,38,C-14,Carbón,1120,50,,,Tumba,,Portacelli,"Corte Río IV, Cuadrícula E.",FALSE,FALSE
Beta 7283,940,Peninsula de la Guajira y corredor del Cesar,El Palmar,,Cacicazgos,"Ardila, 1983",Arqueología de rescate. Proyecto carbonífero de El Cerrejón. Zona norte. Area de El Palmar.,38,C-14,Carbón,1010,190,,,Tumba,,Portacelli,"Corte Río IV, Cuadrícula B.",FALSE,FALSE
Beta 7284,1020,Peninsula de la Guajira y corredor del Cesar,El Palmar,,Cacicazgos,"Ardila, 1983",Arqueología de rescate. Proyecto carbonífero de El Cerrejón. Zona norte. Area de El Palmar.,38,C-14,Carbón,930,110,,40,Tumba,,Portacelli,Río IV.,FALSE,FALSE
Beta 75512,950,Macizo Antioqueño,El Volador,,Cacicazgos,"Bermudez, 1995",Un poblamiento tardio en el Municipio de Concordia Antioquia.,59,,,1000,70,,,,Terraza,,"Santos 1995:264, cita a Santos 1992. Terraza 10",FALSE,FALSE
Beta 75551,480,Macizo Antioqueño,El Volador,,Cacicazgos,"Bermudez, 1995",Un poblamiento tardio en el Municipio de Concordia Antioquia.,59,,,1470,60,,,,,,Tomada en Tumba 13. Santos 1995:264 cita a Santos 1992.,FALSE,FALSE
Beta 76921,3760,Alto Magdalena,Alto de Chinas,,Formativo,"Forero,1997",Excavación y reconstrucción del montículo artificial del sitio El Tabor-Alto de Chinas. Municipio de San Agustín-Huila.,,,,-1810,70,,,,,,Información Erigaie,FALSE,FALSE
Beta 77046,2390,Valles alto Calima y alto y medio del Cauca,Villa Elisa,,Cacicazgos,Cano 1995,"Investigaciones arqueológicas en Santuario, Risaralda. (II)",X,C-14,Carbón,-440,60,,30-40,,,,Cuadrícula Corte 2.,TRUE,FALSE
Beta 77439,900,Valles alto Calima y alto y medio del Cauca,Chinchiná (?),,Cacicazgos,"Santos, 1994",Las sociedades prehispánicas de Jardin y Riosucio.,52,,,1050,50,,,,,Período Temprano,"Con Marrón Inciso, Cerca de Chinchiná. Santos 1995:251 Río Pozo -Chinchina Yc 039 cita a Castillo y Piazzini 1994.",FALSE,FALSE
Beta 77440,1090,Valles alto Calima y alto y medio del Cauca,Chinchiná,,Cacicazgos,"Santos, 1994",Las sociedades prehispánicas de Jardin y Riosucio.,52,,,860,70,,,,,Período Temprano,"Con Marrón Inciso, Cerca de Chinchiná. Santos 1995:251 Río Pozo -Chinchina Yc 039 cita a Castillo y Piazzini 1994.",FALSE,FALSE
Beta 77441,540,Valles alto Calima y alto y medio del Cauca,Chinchiná,,Cacicazgos,"Santos, 1994",Las sociedades prehispánicas de Jardin y Riosucio.,52,,,1410,90,,,,,Período Temprano,"Cerca de Chinchiná. Para Santos son -supervivencias de Marrón Inciso- ; no se si es un error pues todas están en años,  BP (AP) menos esta. Se equivoco? Estas fechas salen de Castillo y  Piazzini, 1994. Santos 1995:251 Santos 1995:251 Río Pozo -Chinchina Yc 044 cita a Castillo y Piazzini 1994. Se cambio en base a la última cita.",TRUE,FALSE
Beta 77495,1680,Altiplano Cundiboyacense,Laboratorio-La Muela,,,Pinto 2003,"Galindo, un sitio a cielo abierto de cazadores/recolectores en la sabana de Bogotá Colombia.",49,,,270,60,,,Tumba,,,,FALSE,FALSE
Beta 8073,1520,Valles alto Calima y alto y medio del Cauca,La Soledad,,Cacicazgos,"Salgado, 1986 cita a Plazas & Falchetti.",Asentamientos prehispánicos en el  noroccidente del Valle del Cauca.,76,C-14,Carbón,430,60,,,Tumba,,,"Muestra de la matriz de figuras antropomorfas en oro martillado halladas en una tumba guaqueada cerca a la cual excavó Salgado (1986: 76, 113).",FALSE,FALSE
Beta 8074,990,Valles alto Calima y alto y medio del Cauca,La Llanada,,Cacicazgos,"Salgado, 1986",Asentamientos prehispánicos en el  noroccidente del Valle del Cauca.,114,C-14,Carbón,960,50,,30-40,Habitación,,Sonso,Bray (1989:110) piensa que esta fecha sugiere que el estilo Buga-Guabas comienza antes en el norte del Valle del Cauca.,FALSE,FALSE
Beta 80751,2310,Alto Magdalena,Betania,,Cacicazgos,"Llanos, 1993",Montículo funerario de Betania (Isnos): cosmología y territorialidad de la cultura de San Agustín,45,C-14,Carbón,-360,50,,190-220,,Montículo,Formativo Tardío,Corte 6.,FALSE,FALSE
Beta 81109,1800,Macizo Antioqueño,El Volador,,Cacicazgos,"Santos, 1994",Las sociedades prehispánicas de Jardin y Riosucio.,52,,,150,140,,,Tumba,,Período Temprano,"La muestra sale de la terraza 10, entierro 1. Santos 1995:251. Marrón Inciso",FALSE,FALSE
Beta 81528,1380,Alto Magdalena,Llanadas,,Cacicazgos,"Ordóñez, 1995","Arqueología de San Agustín: exploraciones en la confluencia de los ríos Naranjos y Granadillos, Alto Narajos.",172,C-14,Carbón,570, 60,,,Tumba,,,Tumba 18,FALSE,FALSE
Beta 82001,550,,Tierralta-Yacimiento 10,,Cacicazgos,Nieto & Espinosa 1995,Programa de arqueología de rescate en la linea de transmisión eléctrica Cerromatoso-Urabá. Informe final.,,,,1400,70,,,,,,Información catalo Erigaie.,FALSE,FALSE
Beta 82002,950,,Montelíbano-Yacimiento 13,,Cacicazgos,Nieto &. Espinosa 1995,Programa de arqueología de rescate en la linea de transmisión eléctrica Cerromatoso-Urabá. Informe final.,,,,1000,70,,,,,,Información Erigaie,FALSE,FALSE
Beta 82003,880,,Turbo-Yacimiento 06,,Cacicazgos,Nieto & Espinosa 1995,Programa de arqueología de rescate en la linea de transmisión eléctrica Cerromatoso-Urabá. Informe final.,,,,1070,70,,,,,,,FALSE,FALSE
Beta 82004,510,,Montelíbano-Yacimiento 12,,Cacicazgos,Nieto &. Espinosa 1995,Programa de arqueología de rescate en la linea de transmisión eléctrica Cerromatoso-Urabá. Informe final.,,,,1440,70,,,,,,Información Erigaie,FALSE,FALSE
Beta 82930,2320,Costa Pacífica,La Magnolia,,Cacicazgos,"Patiño, 1993","Investigaciones arqueológicas en la región de Tumaco, 1995. Colombia.",14,C-14,Carbón,-370,60,,310-320,,Montículo,Período I,El registro y contexto arqueológico asociado a la datación no se reseña con detalle en esta publicación. Patiño 1993:165.,FALSE,FALSE
Beta 82931,2420,Costa Pacífica,La Magnolia,,Cacicazgos,"Patiño, 1993","Investigaciones arqueológicas en la región de Tumaco, 1995. Colombia.",14,C-14,Carbón,-470,90,,200-210,,Montículo,Período II,"El registro y contexto arqueológico asociado a la datación no se reseña con detalle en esta publicación. Patiño, 1993:165. Esta datando hilos de oro.",FALSE,FALSE
Beta 8622,630,Altiplano Cundiboyacense,"San Carlos, Cota",,Cacicazgos,"Lleras, 1989 cita a McBride s.p.",Arqueología del alto Valle de Tenza.,52,C-14,Carbón,1320,125,,,,,Muisca,"Ver comentarios de Boada et al. (1988, 1989); Boada (1991); Mora (1990) y Langebaek (1993).",FALSE,FALSE
Beta 87185,960,Valles alto Calima y alto y medio del Cauca,La Selva (Risaralda).,,Cacicazgos,"Patiño, 1996",Proyecto de Rescate Arqueológico Gasoducto de Occidente Mariquita - Yumbo. Volumen I.,51,,,990,70,Capa 4,50-60,,,Complejo Caldas,Cuadrícula LS3.,FALSE,FALSE
Beta 87186,1620,Valles alto Calima y alto y medio del Cauca,La Selva (Risaralda).,,Cacicazgos,"Patiño, 1996",Proyecto de Rescate Arqueológico Gasoducto de Occidente Mariquita - Yumbo. Volumen I.,155,,,330,70,Capa 2,,Habitación,,, Cuadrícula LS4,FALSE,FALSE
Beta 87187,1530,Valles alto Calima y alto y medio del Cauca,La Selva (Risaralda).,,Cacicazgos,"Patiño, 1996",Proyecto de Rescate Arqueológico Gasoducto de Occidente Mariquita - Yumbo. Volumen I.,155,,,420,70,Capa 2,,Habitación,,,"Cuadrícula LS4,",FALSE,FALSE
Beta 87188,9490,Valles alto Calima y alto y medio del Cauca,La Selva (Risaralda).,,Paleoindio,"Patiño, 1996",Proyecto de Rescate Arqueológico Gasoducto de Occidente Mariquita - Yumbo. Volumen I.,155,C-14,Carbón,-7540,110,,70-80,,,,"Cuadrícula LS11, capa parda.",FALSE,FALSE
Beta 87189,7685,Valles alto Calima y alto y medio del Cauca,La Selva (Risaralda).,,Paleoindio,"Patiño, 1996",Proyecto de Rescate Arqueológico Gasoducto de Occidente Mariquita - Yumbo. Volumen I.,155,,,-5735,110,, 60-70 cm.,,,,Cuadrícula LS12,FALSE,FALSE
Beta 87460,320,,Moniquirá-Yacimiento 62,,Colonial,CAIN 1996,Factibilidad y cortes estratigráficos sobre el trazado del oleoducto El Porvenir-La Belleza. Informe final.,,,,1630,110,,,,,,Información Erigaie,FALSE,FALSE
Beta 87461,20,,Pantanillo-Yacimiento 69,,Republicano,CAIN 1996,Factibilidad y cortes estratigráficos sobre el trazado del oleoducto El Porvenir-La Belleza. Informe final.,,,,1930,60,,,,,,Información Erigaie.,FALSE,FALSE
Beta 87465,2360,,Guayacán-Yacimiento 01,,Cacicazgos,"CAIN, 1996",Factibilidad y cortes estratigráficos sobre el trazado del oleoducto El Porvenir-La Belleza. Informe final.,,,,-410,80,,,,,,Información Fundación Erigaie,FALSE,FALSE
Beta 87498,950,Valles alto Calima y alto y medio del Cauca,Palmira-Cantarana,,Cacicazgos,"Patiño, 1996",Proyecto de Rescate Arqueológico Gasoducto de Occidente Mariquita - Yumbo. Volumen I.,51,,,1000,60,,160-170,Basurero,,Fase Quebradaseca,Trinchera 1.,FALSE,FALSE
Beta 87500,840,Valles alto Calima y alto y medio del Cauca,Palmira-Cantarana,,Cacicazgos,"Patiño, 1996",Proyecto de Rescate Arqueológico Gasoducto de Occidente Mariquita - Yumbo. Volumen I.,51,,,1110,100,,110-120,Basurero,,Fase Quebradaseca,Trinchera 2,FALSE,FALSE
Beta 87501,920,Valles alto Calima y alto y medio del Cauca,Palmira-Cantarana,,Cacicazgos,"Patiño, 1996",Proyecto de Rescate Arqueológico Gasoducto de Occidente Mariquita - Yumbo. Volumen I.,51,,,1030,60,,130-140,Basurero,,Fase Quebradaseca,Trinchera 2.l,FALSE,FALSE
Beta 87503,910,Valles alto Calima y alto y medio del Cauca,Palmira-Cantarana,,Cacicazgos,"Patiño, 1996",Proyecto de Rescate Arqueológico Gasoducto de Occidente Mariquita - Yumbo. Volumen I.,51,,,1040,60,,170-180,Basurero,,Fase Quebradaseca,Trinchera 2,FALSE,FALSE
Beta 87506,935,Valles alto Calima y alto y medio del Cauca,La Selva (Risaralda),,Cacicazgos,Patiño 1996,Proyecto de Rescate Arqueológico Gasoducto de Occidente Mariquita - Yumbo. Volumen I.,155,,,1015,70,,50-60 cm,,,,Cuadrícula LS3.,FALSE,FALSE
Beta 87507,1260,Valles alto Calima y alto y medio del Cauca,La Selva (Risaralda).,,Cacicazgos,"Patiño, 1996",Proyecto de Rescate Arqueológico Gasoducto de Occidente Mariquita - Yumbo. Volumen I.,155,,,690,60,,40-50,Habitación,,Complejo Caldas,Cuadrícula LS7.Tipos Aplicado Inciso y Blanco Grueso sobre Naranja y una Figurina.,FALSE,FALSE
Beta 87508,5825,Valles alto Calima y alto y medio del Cauca,La Selva (Risaralda).,,Formativo,"Patiño, 1996",Proyecto de Rescate Arqueológico Gasoducto de Occidente Mariquita - Yumbo. Volumen I.,155,,,-3875,70,, 80-90,,,,Cuadrícula LS8.,FALSE,FALSE
Beta 87725,390,,El Mango-Yacimiento 9,,Cacicazgos,Múnera; Monsalve; Vergara & Tabares 1996,Vía alterna de la troncal de occidente sector Puente Domenico-Parma-río Campoalegre.,,,,1560,50,,,,,,Información Erigaie,FALSE,FALSE
Beta 87726,970,,El Mango-Yacimiento 9,,Cacicazgos,Múnera; Monsalve; Vergara & Tabares 1996,Vía alterna de la troncal de occidente sector Puente Domenico-Parma-río Campoalegre.,,,,980,70,,,,,,Información Erigaie,FALSE,FALSE
Beta 87727,510,,El Radio-Yacimiento 10,,Cacicazgos,Múnera; Monsalve; Vergara &Tabares 1996,Vía alterna de la troncal de occidente sector Puente Domenico-Parma-río Campoalegre.,,,,1440,80,,,,,,Información Erigaie,FALSE,FALSE
Beta 87728,510,,Campoalegre-Yacimiento 15,,Cacicazgos,Múnera; Monsalve; Vergara & Tabares 1996,Vía alterna de la troncal de occidente sector Puente Domenico-Parma-río Campoalegre.,,,,1440,60,,,,,,Información Erigaie,FALSE,FALSE
Beta 87729,4270,,Campoalegre-Yacimiento 15,,Formativo,Múnera; Monsalve; Vergara & Tabares 1996,Vía alterna de la troncal de occidente sector Puente Domenico-Parma-río Campoalegre.,,,,-2320,70,,,,,,Información Erigaie,FALSE,FALSE
Beta 87730,7600,,Campoalegre-Yacimiento 15,,Paleoindio,Múnera; Monsalve; Vergara & Tabares 1996,Vía alterna de la troncal de occidente sector Puente Domenico-Parma-río Campoalegre.,,,,-5650,90,,,,,,Información Erigaie,FALSE,FALSE
