Autor,Título,Año,Publicado,Editado,Publicación internacional,Sitios,Tema,Período,Etapa,Región,Asunto,Tipo de proyecto,Comentario,Requerido
"Cano, Marta Cecilia","Investigaciones arqueológicas en Santuario, Risaralda.",1994,,FALSE,FALSE,Villa Elisa,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,Excavaciones parciales y reseña de colecciones arqueológicas particulares y de museos.,FALSE
"Cano, Marta Cecilia","Investigaciones arqueológicas en Santuario, Risaralda. (II)",1995,,FALSE,FALSE,Villa Elisa,Arqueología sitio/localidad,,Formativo,Valles alto Calima y alto y medio del Cauca,,Investigación básica,Excavaciones parciales y reseña de colecciones arqueológicas particulares y de museos.,FALSE
"Silva, Eliécer",Investigaciones arqueológicas en Sogamoso. Departamento de Boyacá.,1945,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Correal, Gonzalo",Investigaciones arqueológicas en Tibito. Evidencias culturales asociadas a megafauna durante el pleistoceno tardío en Colombia.,1981,,TRUE,FALSE,Tibito,Arqueología sitio/localidad,,Paleoindio,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Puerta, Mauricio","Investigaciones arqueológicas en Tierradentro ( Inza, Turminá, Mosoco).",1981,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Hernández de  Alba, Gregorio",Investigaciones arqueológicas en Tierradentro.,1938,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Boada, Ana María & María Cristina Hoyos",Investigaciones arqueológicas en un anillo de vivienda en frontera (Sierra Nevada de Santa Marta).,1982,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"Silva, Eliécer",Investigaciones arqueológicas en Villa de Leyva.,1981,,TRUE,FALSE,El Infiernito,Arqueología sitio/localidad,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,"Tiene 3 fechas del IAN, para los campos sagrados. Propone que se trata de una ocupación Muisca o Chibcha desde el  930 a.C.",FALSE
"Castillo, Neyla","Investigaciones de un complejo funerario en el municipio de Sopetrán, Antioquia",1984,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Macizo Antioqueño,,Investigación básica,,FALSE
"Morales, Jorge &  Gilberto, Cadavid",Investigaciones etnohistóricas y arqueológicas en el área Guane.,1984,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Montaña Santandereana,,Investigación básica,,FALSE
"Lleras, Roberto",Investigaciones preliminares en la prehistória del alto valle de Tenza.,1984,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Casas, Pablo",Isla Gorgona; Un asentamiento precolombino del siglo XIII AC en el Oceano Pacífico.,1990,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Costa Pacífica,,Investigación básica,Se destaca por ser el único estudio reciente en la isla.,FALSE
"Van der Hammen, Thomas; G. Correal y G.J. van Klinken.",Isótopos estables y dieta del hombre prehistórico en la Sabana de Bogotá (un estudio inicial).,1990,,TRUE,FALSE,,Materiales Arqueológicos,,Paleoindio,Altiplano Cundiboyacense,Dieta,Investigación básica,,FALSE
"Bashilov, V. A. Carlos. A. Rodriguez, & Héctor Salgado",Issledovaniia doispanskogo poseleniia Kabo de la Vela v  IUgo-Zapadnoi Kolumbii.,1990,,TRUE,TRUE,"ISSN 0038-5034 Studies of Cabo de La Vela, a pre-Columbian settlement in
south-western Columbia",Arqueología sitio/localidad,,Cacicazgos,,,Investigación básica,,FALSE
"Mora, Santiago;  Inés, Cavelier & Luisa F. Herrera","Itinerancia, intensificación y rastrojos: un caso amazónico.",1989,,TRUE,FALSE,,Teoría arqueológica,,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Rueda Enciso, José Eduardo",Juan Friede y el desarrollo de la antropología histórica y el indigenismo,2009,,TRUE,FALSE,,Historia de la...,,,,,Investigación básica,,FALSE
"Casilimas, Inés","Juntas, borracheras y obsequias en el cercado de Ubaque.",2001,,TRUE,FALSE,,Etnohistoria,Muisca tardio,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Villamarín Juan & Villamarín, Judith",Kinship and inheritance among the Sabana de Bogotá Chibcha al the time of the Spanish conquest.,1973,,TRUE,FALSE,,Etnohistoria,,Colonial,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Broadbent, Sylvia",Kunst in Kolumbien.,1974,,TRUE,TRUE,,Síntesis datos,,,,,Investigación básica,,FALSE
Kabuya,"La ""danza"" de la arqueología de rescate.",1996,,FALSE,FALSE,,Políticas,,,,,Rescate arqueológico,,FALSE
"Cardale, Marianne",La agricultura y el manejo de la tierra en tiempos prehispánicos.,1990,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,,,Investigación básica,,FALSE
"Botiva, Alvaro",La altiplanicie Cundiboyacense.,1989,,TRUE,FALSE,,Síntesis datos,,,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Langebaek, Carl Henrik",La ambigüedad de la diferencia: liberales y conservadores en la conformación de la antropología y la arqueología colombianas,2008,,TRUE,FALSE,,Historia de la...,,,,,Investigación básica,,FALSE
La antropología como profesión: sus comienzos,La antropología como profesión: sus comienzos,2009,,TRUE,FALSE,,Historia de la...,,,,,Investigación básica,,FALSE
"Humar, Zoad",La Arqueología Como el Centro de la Humanidad.,1999,,FALSE,FALSE,,,,,,,Investigación básica,,FALSE
"Alcina Franch, José",La arqueología de Esmeraldas (Ecuador): introducción general.,1979,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Ecuador,,Investigación básica,,FALSE
"Vargas Ruiz, Juan Carlos",La arqueología de la guerra y el surgimiento de sociedades complejas en los llanos del Orinoco,2015,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,,,Investigación básica,,FALSE
"Chaves, Alvaro & Patricia Cardoso",La arqueología de rescate en Colombia: problemáticas de un país multicultural.,1988,,FALSE,FALSE,,,,,,,,,FALSE
"Carmona, Sergio",La arqueología de rescate en proyectos de generación eléctrica,1994,,TRUE,FALSE,,Teoría arqueológica,,,,,Rescate arqueológico,"Rescate, Patrimonio",FALSE
"Myers, Thomas","La arqueología de Santa Ana, Huila.",1974,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Lleras, Roberto",La arqueología de Santander: los Guanes.,1989,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Montaña Santandereana,,Investigación básica,,FALSE
"Silva, Eliécer",La arqueología de Tierradentro (i).,1943,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Silva, Eliécer",La arqueología de Tierradentro.,1944,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Uribe, María Victoria",La arqueología del altiplano nariñense.,1992,,TRUE,FALSE,"Miraflores, Las Cruces, El Tambo, La Esperanza, La Victoria, Maridíaz",Síntesis datos,,Cacicazgos,Macizo Andino del sur,,Investigación básica,Tiene resúmen.,FALSE
"Broadbent, Sylvia",La Arqueología del territorio Chibcha II. Hallazgos aislados y monumentos de piedra.,1969,,TRUE,FALSE,,Arqueología sitio/localidad,Muisca,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Langebaek, Carl",La arqueología después de la arqueología en Colombia.,1996,,TRUE,FALSE,,Teoría arqueológica,,,,,Investigación básica,,FALSE
"Cárdenas, Felipe","La arqueología en Colombia: inducimos, deducimos o imaginamos ?",1987,,TRUE,FALSE,,Teoría arqueológica,,,,,Investigación básica,,FALSE
"Lleras, Roberto","La arqueología en el museo: etica, investigación y divulgación.",2000,,FALSE,FALSE,,,,,,Museografía,Divulgación,,FALSE
"Lleras, Roberto",La arqueología y los arqueologos en Colombia: cinco siglos desenterrando el patrimonio historico.,1985,,TRUE,FALSE,,Patrimonio,,,,,Investigación básica,,FALSE
"Herrera, Leonor; Marianne, Cardale & Warwick, Bray",La arqueología y paisaje en la región Calima.,1990,,TRUE,FALSE,Cabo de la Vela; El Recreo,Síntesis datos,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Boada, Ana María, Santiago Mora & Monika Therrien",La arqueología: cultivo de fragmentos cerámicos (Debate sobre la clasificación cerámica del altiplano Cundiboyacense).,1989,,TRUE,FALSE,"El Venado III, Peñitas, Tapias I, El Infiernito, La Asomada,Churuvita II,",Arqueología sitio/localidad,Muisca,Cacicazgos,Altiplano Cundiboyacense,,Rescate arqueológico,Discusión sobre la aplicabilidad de los tipos arqueológicos para entender la distribución de las poblaciones que habitaron el Altiplano.,FALSE
"Rodríguez Saza, Freddy",La arqueoloía en un tubo de ensayo: extracción y amplificación de ADN mitocondrial a partir de restos óseos de la población arqueológica de La Cristalina.,2004,,TRUE,FALSE,,Materiales Arqueológicos,,,Valles alto Calima y alto y medio del Cauca,ADN,Investigación basica,,FALSE
"Gnecco, C.; D. Patiño; O. Dorighel; L. Bellot-Gurlet; G. Poupeau y M. Glascock",La articulación prehispánica Costa-Andes en el suroccidente de Colombia vista a través de las redes de circulación de obsidiana.,1998,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Medina, Álvaro",La Bachué de Rómulo Rozo,2009,,TRUE,FALSE,,Historia de la...,,,,,Investigación básica,,FALSE
"López, Carlos",La bifacialidad como marcador temporal en el valle del Magdalena.,1999,,FALSE,FALSE,,Materiales Arqueológicos,,Paleoindio,Magdalena medio,,Investigación básica,,FALSE
"Aparicio, Juan Ricardo",La búsqueda de un nuevo consumidor del conocimiento arqueológico: el caso de los textos escolares.,2002,,FALSE,FALSE,,Síntesis datos,,,,,Divulgación,,FALSE
"Aparicio, Juan",La búsqueda de una distinción científica en la arqueología de Colombia.,2000,,TRUE,FALSE,,,,,,,,,FALSE
"Castillo, Neyla",La Cancana: un complejo cerámico del formativo temprano en un valle interandino del noroccidente de Colombia.,1999,,FALSE,FALSE,,,,,,,Investigación básica,,FALSE
"Jurado Jaramillo, Daniel Stiven",La casa y el enterramiento indígena Procesos de territorialización del rito de la muerte,2014,,FALSE,FALSE,,Arqueología sitio/localidad,,,,,Investigación básica,,FALSE
"Vélez, Luís Fernando","La cerámica Alzate, una pintoresca farsa científica.",1967,,TRUE,FALSE,,Materiales Arqueológicos,,,Macizo Antioqueño,,Investigación básica,,FALSE
"Gutierrez,  Jaime",La cerámica del establo. Tunja. Estudio arqueológico.,1990,,FALSE,FALSE,,Materiales Arqueológicos,Muisca,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Perdomo, Lucía","La cerámica Panche tipo ""El Peñon"", un ejemplo de delimitación cerámica por computador.",1975,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Magdalena medio,,Investigación básica,,FALSE
"Cardale, Marianne",La cerámica.,1985,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Montaña Santandereana,,Investigación básica,,FALSE
"Llano, Manuel",La ciencia del suelo al servicio de la arqueología.,1955,,TRUE,FALSE,,Síntesis datos,,,,,Investigación básica,,FALSE
"Bernal, Alejandro",La circulación de productos entre los pastos en el siglo XVI.,2000,,TRUE,FALSE,,Etnohistoria,,Cacicazgos,Macizo Andino del sur,,Investigación básica,,FALSE
"Aprile-Gniset, Jacques","La ciudad colombiana. prehispánica, de conquista e indiana.",1991,,TRUE,FALSE,,,,,,,Investigación básica,,FALSE
"Soto, Alvaro",La ciudad perdida de los Tayronas: historia de su hallazgo y descubrimiento.,1988,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"Triana, Miguel",La civilización Chibcha.,1922,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Uribe de Correa, Clara, & Amanda Delgado",La colección cerámica Alzate: reconstrucción y valoración de un patrimonio cultural,1989,,FALSE,FALSE,,Patrimonio,,,Macizo Antioqueño,,Investigación básica,,FALSE
"Cardale, Marianne","La colina de la sal Zipaquirá, patrones de asentamiento durante la época precolombina y la colonia.",1982,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Langebaek, Carl Henrik",La Colombia indígena del siglo XVI.,1992,,TRUE,FALSE,,Síntesis datos,,Colonial,,,Divulgación,,FALSE
"Politis, Gustavo & C. Gamble",La colonización de la foresta tropical Amazónica en relación con el poblamiento de América del sur.,1994,,TRUE,TRUE,,Síntesis datos,,Republicana,Tierras bajas orientales,,Investigación básica,,FALSE
"Londoño, Eduardo",La conquista del cacicazgo de Bogotá.,1988,,TRUE,FALSE,,Etnohistoria,,Colonial,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Mora, Santiago",La construcción del pasado amazónico: etnografía y arqueología.,2003,,TRUE,TRUE,,,,,Tierras bajas orientales,,Investigación basica,,FALSE
"Hettner, Alfred",La cordillera de Bogotá resultados de viajes y estudios.,1966,,TRUE,FALSE,,,,Republicana,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Groot, Ana María",La costa Atlántica.,1989,,TRUE,FALSE,,Síntesis datos,,,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,,FALSE
"Mora, Santiago",La costa pacífica meridional.,1988,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Costa Pacífica,,Investigación básica,,FALSE
"Langebaek, Carl","La cronología de la región arqueológica Tairona vista desde Papare, municipio de Ciénaga.",1987,,TRUE,FALSE,Tigrera,Arqueología sitio/localidad,Tairona,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"Herrera, Leonor",La cuenca montañosa del río Cauca.,1989,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Reichel-Dolmatoff, Gerardo",La cueva funeraria de La Paz.,1947,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Montaña Santandereana,,Investigación básica,,FALSE
"Hernández de  Alba, Gregorio",La cultura arqueológica de San Agustín.,1979,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Rodríguez, Carlos Armando","La cultura arqueológica Quebrada Seca, Cauca.",1992,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Barney Cabrera, Eugenio",La cultura del maíz y la sal.,1983,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,,,Divulgación historia del arte,Visión desde la historia del arte de la iconografía prehispánica.,FALSE
"Lopez, Elizabeth & Botero, Pedro",La cultura Guayupe presente en las llanuras alluviales de los rios Ariari y Guayabero.,1991,,FALSE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Tierras bajas orientales,,Rescate arqueológico,,FALSE
"Cardale, Marianne",La cultura Ilama - resultados recientes.,1987,,TRUE,FALSE,El Topacio,Arqueología sitio/localidad,Ilama,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Bischof, Henning",La cultura Tairona en el área intermedia.,1968,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"Bray, Warwick",La culture Yotoco. Calima.,1991,,TRUE,TRUE,,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,Falta número de página.,FALSE
Grupo de trabajo Universidad Nacional,La Danza de la arqueología de rescate.,1996,,TRUE,FALSE,,Patrimonio,,,,,Rescate arqueológico,,FALSE
"Galarza, Martha",La deformación craneal artificial en Colombia.,1981,,FALSE,FALSE,,Materiales Arqueológicos,,Cacicazgos,,Antropología física.,Investigación básica,,FALSE
"Boada, Ana María",La deformación craneana en Marín: un sitio del valle de La Laguna (Samacá-Boyacá).,1988,,TRUE,FALSE,Marín,Materiales Arqueológicos,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Arango, Juanita",La deidad protectora de la agricultura.,2005,,TRUE,FALSE,,Materiales Arqueológicos,,,Costa Pacífica,Chamanismo,Investigación básica,,FALSE
"Langebaek, Carl",La descripción de la provincia del Darien en 1763 por Antonio de Arevalo.,1989,,TRUE,FALSE,,Etnohistoria,,,"Uraba, alto Sinú",,Investigación básica,,FALSE
"Cárdenas, Felipe","La dieta prehispánica en poblaciones arqueológicas muiscas. Bioantropología de la Sabana de Bogotá, siglos VIII al XVI d.C.",1996,,TRUE,FALSE,"Chiscas, Las Delicias-Bogotá",Materiales Arqueológicos,,Cacicazgos,Altiplano Cundiboyacense,Dieta,Investigación básica,,FALSE
"Rodríguez, Camilo; Luisa F. Herrera; Inés Cavelier & Santiago Mora",La dinámica del ambito y de la sociedad a través de la arqueología Amazónica.,1991,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Perdomo, Lucía","La dispersión de la cerámica ""Mocasin"".",1976,,TRUE,FALSE,,Materiales Arqueológicos,,,,,Investigación básica,,FALSE
"Correal, Gonzalo; Thomas, Van Der Hammen  & Wesley, Hurt","La ecología y tecnología de los abrigos rocosos en el Abra, sabana de Bogotá, Colombia.",1977,,TRUE,FALSE,,Arqueología sitio/localidad,,,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Lleras, Roberto",La economía en la Colombia prehispánica.,1986,,TRUE,FALSE,,Síntesis datos,,,,,Investigación básica,,FALSE
"Langebaek, Carl",La economía política de la orfebrería colombiana.,1999,,FALSE,FALSE,,Materiales Arqueológicos,,Cacicazgos,,Orfebreria,Investigación básica,,FALSE
"Murdy, Carson",La económia y densidad de población en los  asentamientos de la cultura Tayrona en la arida zona litoral de la Sierra Nevada de Santa Marta.,1975,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"López, Carlos & Pedro,  Botero",La edad y el ambiente precerámico en el Magadalena Medio: resultados de laboratorio del sitio Peñones de Bogotá.,1993,,TRUE,FALSE,Peñones de Bogotá.,,,,Magdalena medio,,Investigación básica,,FALSE
"Langebaek, Carl","La elite no siempre piensa lo mismo. Indígenas, estado, arqueología y etnohistoria en Colombia (Siglos XVI a inicios del XX).",1994,,TRUE,FALSE,,Teoría arqueológica,,,,,Investigación básica,,FALSE
"Gnecco, Cristóbal & Carlos H. Illera",La Elvira: un sitio paleoindio en el valle de Popayán.,1989,,TRUE,FALSE,La Elvira,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Bernal, Jaime & Ignacio Briceño",La enfermedad genética en la cerámica Tumaco-La Tolita.,1991,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Costa Pacífica,,Investigación básica,Visión patológica basada en evidencias iconográficas.,FALSE
"Gamboa, Pablo",La escultura en la sociedad agustiniana.,1982,,TRUE,FALSE,,Síntesis datos,Desarrollo regional,Cacicazgos,Alto Magdalena,Escultura,Divulgación historia del arte,,FALSE
"Sotomayor, María Lucia & María Victoria Uribe",La estatuaria del macizo colombiano.,1987,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Politis, Gustavo",La estructura del debate acerca del poblamiento temprano de América del Sur.,1999,,FALSE,FALSE,,,,Paleoindio,,,Investigación básica,,FALSE
"Rojas, Marta",La explotación esmeraldifera en Muzo a través del tiempo.,1974,,TRUE,FALSE,,Arqueología sitio/localidad,,,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Perry, Jimena",La exposición arqueológica y etnográfica de 1938 en Colombia: un primer intercambio cultural.,2009,,TRUE,FALSE,,Historia de la...,,,,,Investigación básica,,FALSE
"Legast, Anne",La fauna en el material precolombino Calima.,1993,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Legast, Anne",La fauna en la orfebreria Sinú.,1980,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,,FALSE
"Legast, Anne",La fauna mitica Tairona,1982,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"Hope Henderson, Helen",La formación de comunidades cacicales y la desigualdad política: retos para comprender el cambio social,2017,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Oyuela, Augusto & Camilo Rodríguez",La formación de los concheros: el caso de noroccidente de América del Sur.,1995,,TRUE,FALSE,"San Jacinto I y II, Puerto Chacho, Puerto Hormiga,",Síntesis datos,,Formativo,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,,FALSE
"Tovar, Hermes",La formación social Chibcha.,1980,,TRUE,FALSE,,Etnohistoria,Muisca,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Torres, Marcela","La fotointerpretación como instrumento moderno para la prospección arqueológica, un ejemplo práctico en la Sabana de Bogotá.",1980,,FALSE,FALSE,,Arqueología sitio/localidad,,,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Mora, Santiago",La frontera del presente: arqueología e historia de las tierras bajas orientales.,0,,FALSE,FALSE,,Síntesis datos,,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Botiva, Alvaro","La fuente histórica y su validez en La investigación arqueológica (Pautas de enterramiento, habitación y sitios ceremoniales de los Chibchas de la sabana de Bogotá).",1976,,FALSE,FALSE,,Arqueología sitio/localidad,,,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Rincón, Beatriz Eugenia, Alessandro Martínez",La gente de Maicura y omé: una imagen dentro del contexto arqueológico amazónico.,2006,,TRUE,TRUE,"Maicura, Omé",Arqueología sitio/localidad,,Cacicazgos,Tierras bajas orientales,,Investigación basica,,FALSE
"Cardale, Marianne",La gente del período Ilama.,1992,,TRUE,FALSE,,Síntesis datos,Ilama,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Lleras, Roberto",La Geografía del Género en las Figuras Votivas de la Cordillera Oriental.,1999,,FALSE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Altiplano Cundiboyacense,Orfebreria,Investigación básica,,FALSE
"Londoño, Julio",La geografía y el hombre en Tierradentro.,1955,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Barney Cabrera, Eugenio",La geometría del oro en el Tolima.,1983,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Magdalena medio,,Divulgación historia del arte,Visión desde la historia del arte de la iconografía prehispánica.,FALSE
"Casas, Pablo",La Gorgona en tiempos precolombinos.,1991,,TRUE,FALSE,Muelle Viejo,Arqueología sitio/localidad,,Cacicazgos,Costa Pacífica,,Investigación básica,,FALSE
"Rivera Fellner, Miguel Ángel",La guaquería en Caldas: identidades ficticias y patrimonio cultural,2008,,TRUE,FALSE,,,,,Macizo Antioqueño,,,,FALSE
"Valencia, Albeiro",La guaquería en el Viejo Caldas.,1989,,TRUE,FALSE,,Patrimonio,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Rodríguez, F.  L. Fehren-Schmitz y M. Delgado","La historia genómica de la Sabana de Bogotá, norte de Sur América, ocurrida durante el Holoceno: sus implicaciones para el estudio del poblamiento humano inicial de Sur América.",0,,FALSE,FALSE,,Materiales Arqueológicos,,Paleoindio,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Lleras, Roberto",La historia prehispánica tradía del Nororiente de Suramérica 800 a 1500 d.C.,1995,,TRUE,FALSE,"Arco1453, cita sobre contactos culturales.",Síntesis datos,,Cacicazgos,,,Investigación básica,,FALSE
"Alarcón, Andrés",La idea de historia en arqueología. Reflexiones sobre las mitologías concernientes al estudio del espacio y el tiempo.,2004,,TRUE,FALSE,,Teoría arqueológica,,,,,,,FALSE
"Gnecco, Cristóbal",La indigenización de las arqueologías Nacionales.,2002,,TRUE,FALSE,,Teoría arqueológica,,,,,Investigación básica,,FALSE
"Gnecco, Cristóbal",La indigenización de las arqueologías nacionales. (1),2004,,TRUE,FALSE,,Teoría arqueológica,,,,,Investigación básica,"Tiene un artículo previo con el mismo título, que fue publicado en México.",FALSE
"Gnecco, Cristóbal",La industria de obsidiana en el suroccidente de Colombia.,1987,,TRUE,FALSE,"La Balsa, Los Arboles, La Elvira, Puelenje, Alto del Diviso, Morelia",Materiales Arqueológicos,,Paleoindio,Alto Magdalena,,Investigación básica,,FALSE
"Rivet, Paul",La influencia karib en Colombia.,1943,,TRUE,FALSE,,Síntesis datos,,,,,Investigación básica,,FALSE
"Cavelier Inés,  Camilo Rodríguez, Santiago Mora, Cristina Urrego, Luisa Fernanda Herrera",La informatica en la paleoecología humana: nuevo enfoque,1993,,FALSE,FALSE,,,,,,,Investigación básica,,FALSE
"Campo, Enrique, & Bernardo, Valderrama.",La ingenieria Tairona.,1995,,FALSE,FALSE,,Arqueología sitio/localidad,Tairona,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"Lleras, Roberto",La interacción comunidad-estado y la conservación del patrimonio arqueológico.,1994,,TRUE,FALSE,,Patrimonio,,,,,Investigación básica,Diagnóstico del estado actual de la legislación y su aplicación.,FALSE
Serje Margarita,La invención de la Sierra Nevada.,2008,,TRUE,FALSE,,Historia de la...,,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"Herrera, Leonor",La investigacion arqueológica en la región Calima.,1989,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"Pérez de Barradas, José",La máscara de oro de Inzá.,1937,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Reichel-Dolmatoff, Gerardo & Alicia, Dussan",La Mesa.,1959,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Montaña Santandereana,,Investigación básica,,FALSE
"Rivet, Paul & H. Arsandaux",La metallurgie en Amérique Precolombienne.,1943,,TRUE,TRUE,,,,,,Orfebreria,Investigación básica,,FALSE
"Plazas, Clemencia",La metalurgia del área intermedia sur dentro del panorama Americano.,2007,,FALSE,TRUE,,Materiales Arqueológicos,,Cacicazgos,,Orfebreria,Investigación básica,,FALSE
"Cárdenas, Felipe","La momia de Pisba, Boyacá",1990,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Cárdenas, Felipe",La momificación indígena en Colombia,1989,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,,,Investigación básica,,FALSE
"Cadavid, Gilberto",La montaña Santandereana.,1989,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Montaña Santandereana,,Investigación básica,,FALSE
"Botero, Sofía","La nación de entre los tres ríos, o ensayo de relectura sobre fuentes documentales.",2003,,TRUE,FALSE,,Síntesis datos,,,Macizo Antioqueño,,,,FALSE
"Cardale, Marianne",La naturaleza del cambio.,1989,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Ortiz, Sergio Elías",La necrópolis del Cerrillo.,1938,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,,,Investigación básica,,FALSE
